#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g24595.t1      -          PF00047_full         -            5.9e-19   69.3  17.7   1.9e-09   38.3   0.5   4.2   2   1   1   4   4   3   3 -
anno1.g7547.t2       -          PF00047_full         -            6.4e-19   69.2  31.1   1.2e-07   32.4   0.2   6.3   1   1   5   6   6   5   4 -
anno1.g7725.t2       -          PF00047_full         -            1.6e-18   67.9   8.1   6.4e-06   26.8   0.0   5.3   2   2   3   5   5   5   3 -
anno1.g6721.t1       -          PF00047_full         -            7.2e-18   65.8  25.4   2.2e-07   31.6   1.1   6.8   4   2   2   6   6   5   2 -
anno1.g4163.t1       -          PF00047_full         -            8.5e-18   65.5   0.0   1.2e-08   35.7   0.0   2.5   1   1   1   2   2   2   2 -
anno1.g26905.t1      -          PF00047_full         -            1.2e-17   65.1   1.3   1.2e-17   65.1   1.3   2.6   2   0   0   2   2   1   1 -
anno1.g12665.t1      -          PF00047_full         -            3.6e-17   63.5   4.1   9.7e-07   29.5   0.1   3.2   1   1   2   3   3   3   3 -
anno1.g22411.t1      -          PF00047_full         -            3.9e-17   63.4  11.6   1.3e-11   45.4   0.4   3.2   2   1   1   3   3   2   2 -
anno1.g31125.t1      -          PF00047_full         -            6.4e-17   62.7  10.9     2e-08   35.0   1.3   3.1   2   1   1   3   3   2   2 -
anno1.g31118.t1      -          PF00047_full         -            9.4e-17   62.1   8.7   6.7e-08   33.3   0.1   3.9   3   1   1   4   4   3   2 -
anno1.g31112.t2      -          PF00047_full         -            1.2e-16   61.7   3.1     1e-13   52.2   0.1   2.8   1   1   1   2   2   2   1 -
anno1.g22425.t1      -          PF00047_full         -            1.5e-16   61.4   1.0   2.1e-13   51.2   0.2   2.3   2   0   0   2   2   2   1 -
anno1.g30183.t1      -          PF00047_full         -            1.7e-16   61.3   0.3   3.3e-16   60.4   0.3   1.4   1   0   0   1   1   1   1 -
anno1.g23632.t1      -          PF00047_full         -            1.9e-16   61.1  23.6   1.5e-09   38.6   2.7   4.9   2   1   3   5   5   4   3 -
anno1.g23624.t1      -          PF00047_full         -            2.2e-16   60.9  29.9   4.5e-08   33.8   2.0   6.5   3   2   3   6   6   5   3 -
anno1.g23430.t1      -          PF00047_full         -            3.1e-16   60.4   6.6   2.8e-06   28.0   0.6   3.2   1   1   2   3   3   3   3 -
anno1.g3771.t1       -          PF00047_full         -            5.4e-16   59.7   1.8   5.4e-16   59.7   1.8   2.2   2   0   0   2   2   1   1 -
anno1.g12777.t2      -          PF00047_full         -            6.1e-16   59.5   8.9   5.9e-10   40.0   0.0   4.0   3   1   0   4   4   3   2 -
anno1.g12775.t1      -          PF00047_full         -            1.2e-15   58.5   4.5   1.3e-08   35.6   0.0   4.1   4   1   0   4   4   3   2 -
anno1.g19448.t1      -          PF00047_full         -            1.7e-15   58.1   0.5   3.2e-15   57.1   0.5   1.4   1   0   0   1   1   1   1 -
anno1.g4847.t1       -          PF00047_full         -            1.8e-15   58.0   4.2   1.2e-07   32.4   0.1   2.1   1   1   1   2   2   2   2 -
anno1.g9411.t1       -          PF00047_full         -              2e-15   57.8   0.0   3.5e-15   57.0   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g9412.t1       -          PF00047_full         -            2.6e-15   57.4   0.0   4.3e-15   56.7   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g7276.t1       -          PF00047_full         -            4.2e-15   56.7   0.0   7.2e-15   56.0   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g23025.t1      -          PF00047_full         -            4.7e-15   56.6   5.5   1.5e-10   41.9   0.9   3.1   2   1   0   2   2   2   2 -
anno1.g6712.t1       -          PF00047_full         -              5e-15   56.5  10.0   9.7e-09   36.0   0.1   4.6   2   1   2   4   4   4   2 -
anno1.g19453.t2      -          PF00047_full         -            9.7e-15   55.6   1.2   1.4e-14   55.0   1.2   1.3   1   0   0   1   1   1   1 -
anno1.g19451.t1      -          PF00047_full         -            1.2e-14   55.3   0.7   1.9e-14   54.6   0.7   1.3   1   0   0   1   1   1   1 -
anno1.g18905.t1      -          PF00047_full         -            1.2e-14   55.2  18.3   1.2e-07   32.5   0.4   3.8   1   1   2   3   3   3   3 -
